id	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)				MNXR94675		iML1515						['MNXR94675']								
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)				MNXR94676		iML1515						['MNXR94676']								
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)				MNXR94677		iML1515						['MNXR94677']								
12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)				MNXR94678		iML1515						['MNXR94678']								
12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)				MNXR94679		iML1515						['MNXR94679']								
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)				MNXR94680		iML1515						['MNXR94680']								
12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)				MNXR94681		iML1515						['MNXR94681']								
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	TRANS-RXN0-467		rxn07920; rxn07919	MNXR94683	TRANS-RXN0-467	iML1515			['META:TRANS-RXN0-467']		['rxn07920', 'rxn07919']	['MNXR94683']								
12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	TRANS-RXN0-467		rxn07920; rxn07919	MNXR94683	TRANS-RXN0-467	iML1515			['META:TRANS-RXN0-467']		['rxn07920', 'rxn07919']	['MNXR94683']								
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)				MNXR94684		iML1515						['MNXR94684']								
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)				MNXR94684		iML1515						['MNXR94684']								
