  	Substances                        	Link                                          	Concentration_E.coli MM2	Role_E.coli MM2
0
1 	sodium chloride                   	/compound?orgid=META&id=NACL                  	2.92 g/l                	 
2 	D-glucose                         	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	0.5 g/l                 	 
3 	N-tris(hydroxymethyl)methylglycine	/compound?orgid=META&id=CPD0-2399             	0.2299 g/l              	 
4 	calcium chloride                  	/compound?orgid=META&id=CPD0-1589             	55.5 mg/l               	 
5 	magnesium dichloride              	/compound?orgid=META&id=MGCL2                 	50.27 mg/l              	 
6 	potassium sulfate                 	/compound?orgid=META&id=CPD0-2391             	48.1 mg/l               	 
7 	dipotassium hydrogen phosphate    	/compound?orgid=META&id=CPD0-2433             	22.99 mg/l              	 
8 	ammonium chloride                 	/compound?orgid=META&id=NH4CL                 	20.33 mg/l              	 
9 	iron(II) sulfate heptahydrate     	/compound?orgid=META&id=CPD0-2418             	2.78 mg/l               	 
10	molybdate                         	/compound?orgid=META&id=CPD-3                 	51.703 µg/l             	 
11	borate                            	/compound?orgid=META&id=BORATE                	24.733 µg/l             	 
12	manganese chloride tetrahydrate   	/compound?orgid=META&id=CPD-19633             	15.833 µg/l             	 
13	cobalt chloride hexahydrate       	/compound?orgid=META&id=CPD-22904             	7.128 µg/l              	 
14	zinc sulfate heptahydrate         	/compound?orgid=META&id=CPD0-2420             	2.538 µg/l              	 
15	copper sulfate                    	/compound?orgid=META&id=CUSO4                 	1.596 µg/l              	 
